date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,forecast_date,add,model,Unnamed: 0,std,type
2007-01-31,52.00000000000001,52.00000000000001,51.22406793948031,52.7876857260672,50.45671648932882,53.590486819963296,49.69487263518389,54.4120521215618,48.93547823158522,55.25643352668237,48.17540200382603,56.12822908639666,47.41134174806714,57.032766850776525,46.63970791422906,57.97634935820539,45.85647625375717,58.96658925637473,45.05699095937828,60.01288462511461,44.23568854515884,61.12711452969864,43.385692158568624,62.32469428209788,42.49818646378044,63.62624443526587,41.56140247486548,65.06036464085307,40.55886397085725,66.66853395950405,39.4661167866869,68.51446810982281,38.2439819031292,70.70393472230869,36.82252864877516,73.43330562090405,35.053763339888214,77.13865052894558,32.50304941679398,83.1921942254093,30.38222588356961,88.99940413721616,2006-12-31,0,arima,,,
2007-02-28,52.00000000000001,52.00000000000001,50.90606749601785,53.11744027785141,49.830961407981256,54.26345235167207,48.77025059044502,55.44363556191702,47.71963217491974,56.6643093577984,46.67481135268598,57.93274619939934,45.63137372736725,59.25747526593281,44.58463932370099,60.648690692952776,43.52948360180658,62.118816403504944,42.46010392240208,63.683310925043735,41.36969742281713,65.36185102742935,40.24999322536216,67.18013553095878,39.09053758005594,69.17275042489017,37.87754021672692,71.38795139621814,36.591891928295766,73.89615178408013,35.205485061141665,76.80621344384099,33.67366189678026,80.30014698991039,31.91738098875614,84.71873055475844,29.77095968882388,90.82676636101492,26.754184705182013,101.068301269381,24.31917688586113,111.18797370037942,2006-12-31,0,arima,,,
2007-03-31,52.00000000000001,52.00000000000001,50.66339641298254,53.371865911995954,49.35606980366367,54.78556154808108,48.07244506003445,56.248439134376426,46.8072037971756,57.76888556977126,45.55513818881204,59.35664136925129,44.311001331014495,61.02322039171335,43.069341876101205,62.78247779542753,41.82430708700627,64.65139982773475,40.56939155339329,66.65123376181951,39.29709613543808,68.80915553354431,37.99843820285562,71.16081944117356,36.662208998330456,73.75442107493133,35.27378184752958,76.65750192842953,33.81307315985692,79.96906957307287,32.25077251270476,83.8429528760837,30.540635436569897,88.53777799142262,28.60136150633118,94.540953912332,26.26378200479653,102.95546922778192,23.04240146531568,117.34887980622015,20.50080061002553,131.8972878882428,2006-12-31,0,arima,,,
2007-04-30,52.00000000000001,52.00000000000001,50.459714159164726,53.5873031597205,48.95923536346539,55.22962072274915,47.49193012019343,56.93598877023255,46.05155826507137,58.71679703943696,44.632103043586966,60.584194237034296,43.227602430663495,62.55262489602983,41.831968353327326,64.63955932365121,40.43877720125942,66.86651247001079,39.04100835332742,69.26050617157134,37.6306950217123,71.85623328083193,36.19842854130454,74.69937533101962,34.73261255355415,77.85190347632815,33.21827261071051,81.40098167320579,31.635027820964183,85.47487346314549,29.95335335208275,90.27369884821204,28.12696445959273,96.13550740196564,26.074973388184905,103.70096873139045,23.63012162284687,114.43021932589754,20.31631195177162,133.09502268024622,17.751531725802707,152.32488338285805,2006-12-31,0,arima,,,
2007-05-31,52.00000000000001,52.00000000000001,50.28094511473981,53.77782764085964,48.61226183023438,55.62382613347666,46.98629767127692,57.54869257666534,45.39593582368462,59.56480356528375,43.83440224412253,61.68670864817286,42.29507916768477,63.93178717740698,40.77131071698173,66.32114475715771,39.25618342726202,68.88086828436232,37.74225822466462,71.643831799999,36.22121842786075,74.65237552362764,34.683375864356776,77.962422417445,33.11693376357126,81.65007120841635,31.50681671415654,85.8226974985083,29.832684848061188,90.63884171912652,28.0652862441171,96.34678144666348,26.159045721977837,103.3676850730148,24.03475543318495,112.50374515009916,21.52954753964771,125.59483635317706,18.18311562252134,148.7093882112736,15.636566704579227,172.92798675607764,2006-12-31,0,arima,,,
2007-06-30,52.00000000000001,52.00000000000001,50.11987072905332,53.950657906077865,48.30069073036887,55.98263625451365,46.533806026551495,58.10829224794416,44.81124523853323,60.34199642537112,43.12550384384811,62.70071672184603,41.4693403136229,65.20479900452438,39.83556890987397,67.87903559549179,38.216831474596844,70.75416500181026,36.60532471321324,73.8690346605217,34.99244807729481,77.27381616819537,33.36831575478998,81.03495603046267,31.72103443774243,85.24312173069359,30.035563375400077,90.02661166045084,28.29178726301801,95.5754394327208,26.46098714179677,102.18817557750388,24.498689050381085,110.37325280709008,22.3280078149912,121.10350472846548,19.791669769900334,136.62313647291705,16.44800955604737,164.39679164740227,13.942229548959826,193.9431559711866,2006-12-31,0,arima,,,
2007-01-31,43.11,42.0,42.0,43.0,41.0,43.0,41.0,44.0,41.0,44.0,40.0,44.0,40.0,45.0,39.0,45.0,39.0,46.0,38.0,47.0,37.0,48.0,36.275000000000006,48.725,36.0,49.20000000000002,35.0,51.0,35.0,52.0,34.0,53.0,34.0,55.0,32.0,57.57499999999999,30.950000000000003,59.05000000000001,30.0,61.52499999999998,28.7375,63.0,2006-12-31,0,model1,0.0,8.261481318661643,estimate
2007-02-28,43.55,43.0,43.0,44.0,42.0,44.0,42.0,45.0,41.0,46.0,41.0,46.0,40.64999999999999,47.0,40.0,47.0,39.0,48.0,39.0,48.775000000000006,38.0,49.0,37.0,49.0,36.0,50.0,35.325,51.0,35.0,51.150000000000006,34.0,53.0,33.900000000000006,54.0,33.0,55.0,30.0,58.0,28.0,61.0,26.0,63.0,2006-12-31,0,model1,1.0,8.149163323694905,estimate
2007-03-31,43.88666666666666,43.0,42.025000000000006,43.975,42.0,44.0,41.0,45.0,41.0,45.0,40.125,46.0,40.0,47.0,40.0,47.0,39.0,48.0,39.0,49.0,38.0,50.0,37.275000000000006,50.0,37.0,51.0,37.0,51.67499999999998,36.0,52.0,35.0,53.0,35.0,55.0,33.0,56.0,32.0,59.0,30.0,61.52499999999998,27.7375,63.0,2006-12-31,0,model1,2.0,8.18517843680658,estimate
2007-04-30,43.54666666666667,43.0,43.0,43.0,42.0,44.0,42.0,45.0,41.0,45.0,41.0,46.0,40.0,46.0,39.0,46.0,39.0,47.0,39.0,47.775000000000006,38.0,48.0,37.0,49.0,37.0,50.0,36.325,51.0,35.0,52.0,34.0,53.0,33.0,54.10000000000002,32.0,57.0,31.0,59.05000000000001,28.0,62.52499999999998,26.0,64.26249999999999,2006-12-31,0,model1,3.0,8.48692613807453,estimate
